"Date","Domain","Monthly Budget","Total Keywords","% Top of Page","Coverage","Position","Title","Body"
"20240601","asb.co.nz","951000","1131","0","0","1","Health Insurance | Get A Quote With ASB Today","Get gym \& fitness gear discounts, free health checks \& more with AIA Vitality. Learn more. Our {KeyWord} specialists can provide...  \n‎[Health Insurance Quotes](#) · ‎[ASB Health Insurance](#) · ‎[Get Health Insurance](#) · ‎[Making a Claim](#)\n"
"20240401","asb.co.nz","951000","1131","0","0","1","ASB Health Insurance - The Protection You Need","Our local Insurance Managers can give you expert help and create a solution just for you. Get the medical care you want for yourself...  \n‎[Health Insurance Quotes](#) · ‎[Private Health Insurance](#) · ‎[Why Health Insurance?](#)\n"
"20250301","barmer.de","0","1","1","0.08333333333333333","1","Get A Quote Online | Health Insurance in Germany","Most benefical benefit package. Top rated in the comparison of german insurance providers. Choose a German {KeyWord} provider...\n\n[Healthcare in Germany\nWe answer important questions about healthcare in Germany.](#)"
"20250301","nib.co.nz","338800","662","0.3333333333333333","0.08333333333333333","3","nib | Health Insurance NZ | Get Your Limited Time Offer","Join & Claim Instantly on GP, Dental & More.\*T&Cs, benefit limits apply. Ends 31 Mar '25. Easy To Use, Easy To Claim, & Offering More Than Just Great Health Cover. Get A Quote Now. Request a Call Back. Get a Quote. Health Cover Offers. Dental Cover Offers.\n\n‎[What You're Covered For](#) · ‎[Get A Quote](#) · ‎[Compare Plans](#) · ‎[Contact Us](#) · ‎[Find A Provider](#)"
"20240601","nib.co.nz","338800","662","0.3333333333333333","0.08333333333333333","2","nib Health Insurance NZ - Health Insurance","Join \& Claim Instantly on GP, Dental \& More.\*T\&Cs, benefit limits apply. Ends 31 Aug '24. Easy To Use, Easy To Claim, \& Offering More Than Just Great Health Cover. Get A Quote Now. Health Cover Offers. Get a Quote.  \n‎[Compare Plans](#) · ‎[Get A Quote](#) · ‎[View Benefits](#) · ‎[Health And Wellbeing](#) · ‎[Find A Provider](#)\n"
"20240401","nib.co.nz","338800","662","0.3333333333333333","0.08333333333333333","1","Cover From Only $11 a Week. - nib Private Health Insurance","Explore Our Everyday Plans That Cover A Range Of Treatments From only $11/Week. Learn More  \n\n### [Compare Our Plans](#)\n\nThe right {KeyWord} is about making sure it fits your needs!  \n\n### [Get a Quick Quote Online](#)\n\nGet covered today in minutes. No medical questions asked.  \n\n### [Member Stories](#)\n\nSee how our members make the most of their Health Insurance.\n"
"20240401","theteam.co.nz","0","62","0","0","1","Personal Risk Insurance | Contact Lou & Ryan Today","Cover For Health, Life, Trauma, Income \& Mortgage Protection, Accidental Injury \& More. For People-Focused, Tailored Insurance To Protect You \& Your Family, We Are Your Team. Friendly \& Approachable. Member of FCSL.  \n‎[Insurance FAQs](#) · ‎[Read the Reviews](#) · ‎[Contact Us](#) · ‎[Meet the Team](#)  \n[Call us](#)\n"
"20250301","lifedirect.co.nz","149700","244","0.5","0.08333333333333333","2","Compare NZ Health Insurance | Compare Health Insurance","See How LifeDirect™ Makes It Super Easy To Compare/Buy Health Insurance. Free, Instant Health Insurance Quotes From NZ's Top Insurers. Compare Now. Top Customer Reviews. Customer Rating 4.6 Of 5. Safe And Secure. Loyalty benefits\* GP Options\* You're In Control.\n\n‎[Compare Health Insurers](#) · ‎[Get An Instant Quote](#) · ‎[Health Insurance FAQs](#) · ‎[About LifeDirect](#)"
"20240401","lifedirect.co.nz","149700","244","0.5","0.08333333333333333","3","Compare Health Insurance - Insurance Comparison Made Easy","Instant Health Insurance Quotes From NZ's Top Insurers. We Provide Free Services.  \n\n"
"20250301","fmg.co.nz","1303000","370","0","0.08333333333333333","4","FMG Life & Health Cover | 100% NZ Owned & Operated","We've been providing NZ with access to affordable life & {KeyWord} for over 50 yrs. Protect your future with FMG Life and Health.\n\n‎[Request A Quote](#) · ‎[Request A Call Back](#) · ‎[Life & Health Insurance](#) · ‎[What We Cover](#)\n\n[Call us](#)"
"20250301","comparemedicalinsurance.co.nz","50420","42","0","0.08333333333333333","5","Compare NZ Health Insurance | Best Health Insurance Quotes","Private Health Insurance Means The Best Care When (And Where) It Suits You. Get a quote\n\n‎[Compare Policies & Rates](#) · ‎[4 Insurers 1 Site. Compare Now](#) · ‎[Contact Us](#) · ‎[Read FAQs](#)"
"20250301","southerncross.co.nz","431900","207","0","0.08333333333333333","6","Compare Plans & Get A Quote | Health Insurance","Pricing from under $2/day. T&C apply. Compare our range of plans & become a member today. As a not-for-profit health insurer...\n\n‎[Non-Resident Insurance](#) · ‎[Family Health Coverage](#) · ‎[Get Fast Access To Treatment](#)"
"20240401","southerncross.co.nz","431900","207","0","0.08333333333333333","2","Health Insurance NZ - Southern Cross Health","Health Insurance That Works For Your Family. We're With You When You Need It Most. Compare Our Range of Health Insurance Plans \& Find the Right Cover For You. Insurance coverage: Extra Dental Cover, CancerCoverPlus, Cancer Assist, Critical Illness.  \n\n"
